"BehaviorSpace results (NetLogo 6.2.0)"
"ModeloBásico.nlogo"
"clientes-tiendas"
"10/03/2021 15:09:47:619 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-clientes","num-productos","num-tiendas","tam-lista","[step]","ticks"
"326","4","6","4","4","1661","1661"
"327","4","6","4","4","1828","1828"
"328","4","6","4","4","1976","1976"
"322","4","6","4","4","4001","4001"
"325","4","6","4","4","2672","2672"
"329","4","6","4","4","3014","3014"
"331","4","6","4","4","2451","2451"
"333","4","6","4","4","1592","1592"
"330","4","6","4","4","2590","2590"
"332","4","6","4","4","2647","2647"
"334","4","6","4","4","2245","2245"
"338","4","6","4","4","2682","2682"
"339","4","6","4","4","2125","2125"
"336","4","6","4","4","3545","3545"
"337","4","6","4","4","3071","3071"
"335","4","6","4","4","3997","3997"
"341","4","6","4","4","1817","1817"
"342","4","6","4","4","1635","1635"
"340","4","6","4","4","2262","2262"
"343","4","6","4","4","2515","2515"
"348","4","6","4","4","1265","1265"
"345","4","6","4","4","2928","2928"
"346","4","6","4","4","3465","3465"
"350","4","6","4","4","1770","1770"
"344","4","6","4","4","3620","3620"
"351","4","6","6","4","2029","2029"
"353","4","6","6","4","1827","1827"
"349","4","6","4","4","3143","3143"
"352","4","6","6","4","1337","1337"
"355","4","6","6","4","656","656"
"347","4","6","4","4","3485","3485"
"357","4","6","6","4","1643","1643"
"360","4","6","6","4","930","930"
"356","4","6","6","4","2160","2160"
"354","4","6","6","4","2671","2671"
"363","4","6","6","4","947","947"
"362","4","6","6","4","1514","1514"
"359","4","6","6","4","1725","1725"
"365","4","6","6","4","760","760"
"361","4","6","6","4","1667","1667"
"368","4","6","6","4","627","627"
"358","4","6","6","4","2477","2477"
"369","4","6","6","4","912","912"
"366","4","6","6","4","1342","1342"
"367","4","6","6","4","2465","2465"
"373","4","6","6","4","1140","1140"
"375","4","6","6","4","1094","1094"
"377","4","6","6","4","624","624"
"364","4","6","6","4","2874","2874"
"371","4","6","6","4","2033","2033"
"372","4","6","6","4","2115","2115"
"376","4","6","6","4","2199","2199"
"378","4","6","6","4","1790","1790"
"379","4","6","6","4","819","819"
"374","4","6","6","4","2365","2365"
"370","4","6","6","4","3775","3775"
"380","4","6","6","4","1005","1005"
"387","4","6","6","4","405","405"
"383","4","6","6","4","1214","1214"
"384","4","6","6","4","1158","1158"
"381","4","6","6","4","1450","1450"
"385","4","6","6","4","1376","1376"
"390","4","6","6","4","1013","1013"
"388","4","6","6","4","1390","1390"
"389","4","6","6","4","1774","1774"
"391","4","6","6","4","2066","2066"
"392","4","6","6","4","1919","1919"
"382","4","6","6","4","1768","1768"
"394","4","6","6","4","1990","1990"
"395","4","6","6","4","1107","1107"
"386","4","6","6","4","3607","3607"
"393","4","6","6","4","2812","2812"
"397","4","6","6","4","770","770"
"399","4","6","6","4","846","846"
"404","4","6","8","4","519","519"
"396","4","6","6","4","1961","1961"
"401","4","6","8","4","937","937"
"400","4","6","6","4","1639","1639"
"402","4","6","8","4","1253","1253"
"409","4","6","8","4","506","506"
"403","4","6","8","4","1140","1140"
"398","4","6","6","4","1743","1743"
"407","4","6","8","4","734","734"
"406","4","6","8","4","1178","1178"
"410","4","6","8","4","559","559"
"412","4","6","8","4","514","514"
"408","4","6","8","4","1071","1071"
"413","4","6","8","4","602","602"
"414","4","6","8","4","1195","1195"
"417","4","6","8","4","910","910"
"415","4","6","8","4","1012","1012"
"416","4","6","8","4","1145","1145"
"419","4","6","8","4","767","767"
"422","4","6","8","4","599","599"
"405","4","6","8","4","3101","3101"
"421","4","6","8","4","1260","1260"
"424","4","6","8","4","721","721"
"411","4","6","8","4","3064","3064"
"423","4","6","8","4","1145","1145"
"420","4","6","8","4","1482","1482"
