"BehaviorSpace results (NetLogo 6.2.0)"
"HelechosCon Infección.nlogo"
"experiment"
"09/02/2021 12:48:46:846 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"631","10","163","61"
"633","10","168","60"
"635","10","147","61"
"632","10","231","35"
"634","10","146","11"
"636","10","160","62"
"637","10","190","61"
"638","10","140","12"
"639","10","135","20"
"640","10","134","14"
"642","10","127","46"
"641","10","141","27"
"644","10","115","34"
"645","10","135","43"
"643","10","187","78"
"646","10","133","49"
"647","10","159","46"
"648","10","136","40"
"649","10","154","44"
"650","10","159","36"
"651","10","144","46"
"652","10","123","19"
"653","10","147","37"
"654","10","166","70"
"655","10","165","23"
"656","10","168","63"
"657","10","140","38"
"659","10","167","35"
"658","10","183","53"
"660","10","169","66"
"662","10","140","38"
"664","10","114","3"
"661","10","153","29"
"663","10","141","27"
"665","10","122","23"
"667","10","114","31"
"668","10","121","47"
"666","10","186","73"
"671","10","121","57"
"669","10","147","17"
"670","10","150","22"
"673","10","159","50"
"672","10","146","41"
"676","10","131","48"
"674","10","161","41"
"675","10","142","41"
"678","10","150","20"
"677","10","162","51"
"680","10","133","43"
"681","10","166","59"
"679","10","149","53"
"682","10","169","47"
"683","10","160","65"
"684","10","143","25"
"688","10","129","47"
"686","10","143","14"
"687","10","165","51"
"685","10","168","22"
"689","10","129","8"
"691","10","137","23"
"690","10","186","55"
"692","10","179","61"
"695","10","135","44"
"696","10","127","29"
"694","10","142","77"
"693","10","179","35"
"697","10","116","36"
"699","10","151","31"
"701","10","146","30"
"698","10","147","30"
"700","10","159","39"
"705","10","130","32"
"702","10","149","30"
"704","10","128","73"
"703","10","146","47"
"708","10","147","37"
"710","10","131","49"
"706","10","142","8"
"711","10","124","60"
"709","10","153","48"
"707","10","147","16"
"712","10","148","28"
"713","10","172","39"
"714","10","148","45"
"716","10","120","47"
"718","10","114","54"
"717","10","132","34"
"715","10","149","44"
"719","10","153","38"
"720","10","163","31"
"721","10","112","1"
"723","10","139","43"
"722","10","156","71"
"724","10","154","23"
"725","10","150","63"
"726","10","155","34"
"727","10","126","32"
"728","10","154","19"
"729","10","151","40"
"732","10","148","37"
"730","10","155","48"
"733","10","166","33"
"734","10","137","46"
"731","10","182","22"
"735","10","141","31"
"736","10","135","14"
"739","10","132","31"
"738","10","147","43"
"743","10","122","31"
"741","10","141","40"
"742","10","137","20"
"740","10","140","34"
"737","10","183","34"
"744","10","116","68"
"749","10","103","28"
"745","10","133","27"
"746","10","144","10"
"750","10","125","44"
"748","10","149","50"
"747","10","145","25"
"752","10","126","52"
"751","10","147","26"
"753","10","141","42"
"754","10","142","43"
"756","10","121","37"
"755","10","144","54"
"757","10","158","24"
"759","10","150","53"
"758","10","144","17"
"760","10","136","25"
"762","10","156","52"
"763","10","146","15"
"761","10","154","31"
"764","10","146","30"
"765","10","137","62"
"766","10","119","30"
"767","10","135","38"
"768","10","147","47"
"769","10","160","54"
"771","10","160","52"
"770","10","145","33"
"772","10","155","26"
"773","10","150","44"
"775","10","144","44"
"774","10","171","34"
"776","10","139","23"
"777","10","146","23"
"779","10","154","59"
"781","10","144","41"
"783","10","134","57"
"780","10","154","12"
"778","10","185","52"
"782","10","166","19"
"784","10","156","50"
"786","10","121","42"
"785","10","164","39"
"787","10","122","30"
"789","10","150","33"
"791","10","122","26"
"790","10","145","7"
"788","10","176","49"
"792","10","138","36"
"793","10","154","41"
"794","10","151","29"
"795","10","144","31"
"797","10","129","21"
"796","10","148","28"
"798","10","174","26"
"799","10","151","54"
"800","10","144","34"
"801","10","139","12"
"805","10","115","58"
"802","10","148","15"
"806","10","122","17"
"804","10","147","36"
"807","10","117","57"
"803","10","187","43"
"809","10","128","29"
"810","10","138","43"
"811","10","128","17"
"812","10","121","45"
"808","10","138","51"
"813","10","161","65"
"815","10","140","22"
"814","10","153","5"
"817","10","148","9"
"816","10","157","16"
"823","10","121","38"
"818","10","158","39"
"819","10","143","17"
"821","10","143","31"
"822","10","134","31"
"820","10","173","35"
"827","10","124","42"
"824","10","151","47"
"826","10","142","11"
"828","10","118","30"
"829","10","169","53"
"825","10","148","26"
"830","10","160","34"
"831","10","132","28"
"832","10","134","40"
"834","10","137","38"
"833","10","153","30"
"835","10","155","32"
"837","10","134","15"
"836","10","168","38"
"838","10","136","33"
"840","10","128","20"
"839","10","140","15"
"843","10","130","43"
"842","10","121","34"
"841","10","137","42"
"845","10","136","17"
"844","10","164","44"
"846","10","160","49"
"847","10","135","31"
"849","10","145","29"
"850","10","130","44"
"851","10","158","28"
"848","10","161","48"
"852","10","139","39"
"854","10","136","45"
"853","10","182","38"
"858","10","126","24"
"856","10","161","25"
"855","10","169","26"
"857","10","176","34"
"860","10","128","71"
"859","10","131","39"
"861","10","133","16"
"862","10","154","39"
"863","10","110","8"
"864","10","142","3"
"865","10","130","25"
"867","10","133","35"
"866","10","143","25"
"868","10","134","54"
"869","10","139","11"
"870","10","138","49"
"871","10","141","36"
"873","10","123","31"
"874","10","132","37"
"872","10","169","34"
"875","10","131","7"
"876","10","150","28"
"877","10","126","26"
"878","10","162","14"
"880","10","148","36"
"881","10","154","32"
"879","10","178","72"
"883","10","132","43"
"882","10","174","45"
"884","10","130","17"
"885","10","157","41"
"889","10","142","64"
"887","10","164","27"
"886","10","174","42"
"890","10","119","56"
"888","10","192","46"
"891","10","160","24"
"893","10","149","16"
"892","10","155","14"
"894","10","113","37"
"895","10","128","54"
"897","10","142","36"
"896","10","149","51"
"898","10","136","52"
"902","10","130","31"
"900","10","141","31"
"903","10","127","39"
"901","10","142","46"
"904","10","117","25"
"899","10","206","44"
"905","10","124","19"
"906","10","187","25"
"907","10","144","68"
"908","10","122","24"
"909","10","135","22"
"911","10","123","31"
"912","10","124","46"
"910","10","140","33"
"913","10","136","23"
"914","10","128","33"
"916","10","130","55"
"915","10","128","9"
"917","10","143","47"
"919","10","142","46"
"922","10","102","40"
"918","10","153","32"
"920","10","132","42"
"921","10","159","44"
"924","10","127","30"
"923","10","141","25"
"925","10","148","42"
"928","10","124","51"
"927","10","161","38"
"926","10","171","34"
"929","10","143","31"
"930","10","150","18"
"931","10","157","32"
"932","10","169","26"
"934","10","156","20"
"935","10","127","32"
"936","10","138","49"
"933","10","172","11"
"937","10","137","64"
"939","10","161","31"
"938","10","188","36"
"940","10","162","35"
"942","10","120","8"
"941","10","158","29"
"944","10","148","23"
"943","10","221","50"
"945","10","133","22"
"946","10","126","19"
"948","10","116","38"
"947","10","135","9"
"949","10","144","16"
"951","10","150","42"
"950","10","175","22"
"952","10","146","15"
"954","10","134","11"
"955","10","155","45"
"956","10","140","21"
"957","10","143","38"
"958","10","136","9"
"959","10","132","60"
"953","10","198","28"
"961","10","125","20"
"960","10","139","46"
"962","10","133","29"
"964","10","124","53"
"963","10","128","27"
"966","10","133","58"
"965","10","153","15"
"967","10","115","32"
"968","10","131","37"
"970","10","169","90"
"969","10","164","53"
"971","10","140","31"
"973","10","143","69"
"972","10","145","12"
"974","10","137","34"
"976","10","134","55"
"975","10","144","45"
"979","10","134","19"
"978","10","152","50"
"980","10","163","55"
"982","10","147","21"
"977","10","200","52"
"981","10","159","61"
"983","10","160","44"
"986","10","136","66"
"987","10","139","25"
"985","10","168","27"
"984","10","137","22"
"988","10","144","28"
"989","10","168","59"
"990","10","142","47"
"991","10","115","9"
"992","10","114","46"
"995","10","116","45"
"994","10","158","45"
"993","10","151","15"
