"BehaviorSpace results (NetLogo 6.2.0)"
"Traffic Basic.nlogo"
"experiment"
"02/05/2021 10:19:37:535 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-4","4"
"[run number]","acceleration","number-of-cars","deceleration","[step]","mean [speed] of  turtles"
"146","0.0025","20","0.017","1000","0.19729265468279905"
"148","0.0025","20","0.017","1000","0.21158334065600384"
"149","0.0025","20","0.017","1000","0.20071113879799393"
"150","0.0025","20","0.017","1000","0.20847521819775458"
"152","0.0025","20","0.017","1000","0.19882947171213444"
"151","0.0025","20","0.017","1000","0.20273765641074765"
"153","0.0025","20","0.017","1000","0.33322258900057633"
"154","0.0025","20","0.017","1000","0.21041178705786773"
"157","0.0025","20","0.017","1000","0.2013979605335813"
"155","0.0025","20","0.017","1000","0.21114301709607938"
"156","0.0025","20","0.017","1000","0.20391727168573262"
"158","0.0025","20","0.017","1000","0.2150967589725961"
"159","0.0025","20","0.017","1000","0.19281630693817012"
"160","0.0025","20","0.017","1000","0.19530922920107577"
"162","0.0025","20","0.017","1000","0.3085161989463657"
"163","0.0025","20","0.017","1000","0.2059603929192222"
"161","0.0025","20","0.017","1000","0.21450541990826394"
"164","0.0025","20","0.017","1000","0.20530519512199077"
"165","0.0025","20","0.017","1000","0.20712526174574344"
"167","0.0025","20","0.017","1000","0.1992496595341549"
"166","0.0025","20","0.017","1000","0.203292716136025"
"168","0.0025","20","0.017","1000","0.20662500000000178"
"169","0.0025","20","0.017","1000","0.21180198236912845"
"170","0.0025","20","0.017","1000","0.19722120234214208"
"171","0.0025","20","0.017","1000","0.21418893821511645"
"172","0.0025","20","0.017","1000","0.20011265931585115"
"173","0.0025","20","0.017","1000","0.20116439395783856"
"174","0.0025","20","0.017","1000","0.19886315261598472"
"175","0.0025","20","0.017","1000","0.213787819625919"
"176","0.0025","20","0.017","1000","0.20546351424074083"
"177","0.0025","20","0.017","1000","0.21131870983086282"
"178","0.0025","20","0.017","1000","0.19853908683980406"
"179","0.0025","20","0.017","1000","0.20665425094443526"
"181","0.0025","20","0.017","1000","0.20962525688799696"
"180","0.0025","20","0.017","1000","0.20048611027460855"
"182","0.0025","20","0.017","1000","0.20356328093028067"
"183","0.0025","20","0.017","1000","0.19698750407736748"
"184","0.0025","20","0.017","1000","0.19900550185291327"
"185","0.0025","20","0.017","1000","0.1998735388732297"
"186","0.0025","20","0.017","1000","0.20929029690498813"
"187","0.0025","20","0.017","1000","0.20051800003855247"
"190","0.0025","20","0.017","1000","0.20018782043190225"
"188","0.0025","20","0.017","1000","0.3096105582784616"
"189","0.0025","20","0.017","1000","0.2124229564524736"
"191","0.0025","20","0.017","1000","0.5447318562588341"
"192","0.0025","20","0.017","1000","0.20897053520711334"
"193","0.0025","20","0.017","1000","0.21283268427230745"
"194","0.0025","20","0.017","1000","0.20473217000309069"
"195","0.0025","20","0.017","1000","0.20602246045873188"
"197","0.0025","20","0.017","1000","0.2155135738288933"
"198","0.0025","20","0.017","1000","0.21290757012876949"
"199","0.0025","20","0.017","1000","0.21879865964815481"
"196","0.0025","20","0.017","1000","0.32620081375400134"
"200","0.0025","20","0.017","1000","0.21105224884906454"
"201","0.0025","20","0.02","1000","0.1678706222093857"
"202","0.0025","20","0.02","1000","0.17030727368556736"
"203","0.0025","20","0.02","1000","0.1814824769595746"
"207","0.0025","20","0.02","1000","0.17858349278647404"
"205","0.0025","20","0.02","1000","0.1772351807918597"
"204","0.0025","20","0.02","1000","0.1836973196842371"
"206","0.0025","20","0.02","1000","0.18736766592572837"
"208","0.0025","20","0.02","1000","0.183660838932525"
"209","0.0025","20","0.02","1000","0.18015006339571793"
"210","0.0025","20","0.02","1000","0.18681894445510966"
"211","0.0025","20","0.02","1000","0.17849039493870753"
"213","0.0025","20","0.02","1000","0.17816896477283997"
"214","0.0025","20","0.02","1000","0.17205440007219466"
"215","0.0025","20","0.02","1000","0.17098655469925503"
"217","0.0025","20","0.02","1000","0.18380381011883928"
"216","0.0025","20","0.02","1000","0.17678382362413939"
"218","0.0025","20","0.02","1000","0.18383708805738058"
"212","0.0025","20","0.02","1000","0.18572036594226707"
"220","0.0025","20","0.02","1000","0.17364525060595137"
"221","0.0025","20","0.02","1000","0.17956587961088682"
"222","0.0025","20","0.02","1000","0.18070872966782286"
"219","0.0025","20","0.02","1000","0.17461534744583407"
"223","0.0025","20","0.02","1000","0.16729311040028566"
"224","0.0025","20","0.02","1000","0.18056439183345174"
"225","0.0025","20","0.02","1000","0.18012675730496777"
"227","0.0025","20","0.02","1000","0.17641430391460597"
"228","0.0025","20","0.02","1000","0.1709394628165639"
"229","0.0025","20","0.02","1000","0.17369798566386138"
"231","0.0025","20","0.02","1000","0.18768106439303783"
"230","0.0025","20","0.02","1000","0.17955334805405906"
"233","0.0025","20","0.02","1000","0.1798724499455746"
"232","0.0025","20","0.02","1000","0.16590526325170513"
"226","0.0025","20","0.02","1000","0.17428289981248807"
"234","0.0025","20","0.02","1000","0.18098881711434497"
"237","0.0025","20","0.02","1000","0.18063526523570222"
"236","0.0025","20","0.02","1000","0.17360539461323168"
